"dog_id","dog_id_cohort","cohort","elab_id","run_order","prep_batch","run","DOC","DOB","age","weight_at_DOC","lifestage_at_DOC","size_at_DOC","sex","sterilization_status","pure_or_mixed","breed_1","breed_2","graded_hemolysis","elapse_DOC_LOG","serum_temp","hours_fasting","Division","state","st_zip","complete_survey_pull","diet_survey","comprehensive_diet_complete","DRdiet_survey","BCS","SampleID","SampleName","elab_idX"
43,"43_precision_1_arm_1","Precision 1",13504180,7,1,1,"2021-07-07","2015-02-24",6.35668717247665,9.97903214,"Mature","Toy",1,0,1,49,NA,0,25.7108333333333,20.4,16,"Division 2: Middle Atlantic","PA",19335,"HLES","HLES diet","FUP2","HLES",NA,"X7","43_","X13504180"
154,"154_precision_1_arm_1","Precision 1",14436580,77,3,1,"2021-09-02","2010-11-15",10.7832080200501,14.51495584,"Mature","Medium",1,1,1,268,NA,0,21.0205555555556,22.5,18,"Division 9: Pacific","WA",98531,"FUP1","FUP1 diet",NA,"HLES",NA,"X77","154_","X14436580"
225,"225_precision_1_arm_1","Precision 1",16673353,59,9,3,"2022-03-24","2013-04-06",8.95146958304853,4.08233133,"Mature","Toy",1,1,2,74,87,1,25.9275,13.1,24,"Division 2: Middle Atlantic","NY",11218,"FUP1","FUP1 diet","FUP3","FUP1",6,"X59","225_","X16673353"
247,"247_precision_1_arm_1","Precision 1",16395562,16,8,3,"2022-03-07","2018-09-28",3.43415356573251,36.2873896,"Young","Large",0,1,1,153,NA,0,25.3538888888889,8.6,14,"Division 9: Pacific","OR",97103,"FUP1","FUP1 diet",NA,"FUP1",NA,"X16","247_","X16395562"
273,"273_precision_1_arm_1","Precision 1",13790374,13,1,1,"2021-07-22","2014-07-07",7.03212576896787,43.99845989,"Mature","Giant",1,1,2,173,37,0,24.0338888888889,21.2,15,"Division 9: Pacific","CA",95818,"HLES","HLES diet","FUP2","HLES",5,"X13","273_","X13790374"
310,"310_precision_1_arm_1","Precision 1",13436260,17,1,1,"2021-07-06","2013-02-05",8.40179995443153,11.521246198,"Mature","Toy",0,1,1,204,NA,1,23.7861111111111,21.9,12,"Division 7: West South Central","TX",78757,"HLES","HLES diet","FUP3","HLES",7.5,"X17","310_","X13436260"
540,"540_precision_1_arm_1","Precision 1",14436898,67,3,1,"2021-09-02","2014-10-11",6.88448393711552,9.97903214,"Mature","Toy",1,1,2,153,141,1,17.4055555555556,16.3,12,"Division 3: East North Central","WI",53212,"HLES","HLES diet","FUP2","HLES",4.5,"X67","540_","X14436898"
613,"613_precision_1_arm_1","Precision 1",13766833,18,1,1,"2021-07-20","2019-01-11",2.51799954431533,37.64816671,"Young","Large",0,0,2,212,114,0,50.1633333333333,19.6,18,"Division 1: New England","MA",1253,"FUP1","FUP1 diet","FUP2","FUP1",3,"X18","613_","X13766833"
692,"692_precision_1_arm_1","Precision 1",16117621,143,7,2,"2022-02-09","2011-05-08",10.7451583504215,20.86524902,"Mature","Standard",0,1,2,153,227,0,26.6486111111111,13.6,14,"Division 1: New England","MA",1741,"HLES","HLES diet","FUP2","HLES",5,"X143","692_","X16117621"
695,"695_precision_1_arm_1","Precision 1",13726939,21,1,1,"2021-07-19","2012-03-29",9.29323308270677,37.64816671,"Mature","Large",1,1,2,214,3,2,45.5188888888889,24.2,12,"Division 9: Pacific","HI",96749,"HLES","HLES diet","FUP2","HLES",NA,"X21","695_","X13726939"
760,"760_precision_1_arm_1","Precision 1",14422378,71,3,1,"2021-09-01","2018-02-22",3.51868307131465,29.48350405,"Young","Standard",0,1,2,12,153,0,23.4580555555556,22.8,13,"Division 9: Pacific","WA",98506,"HLES","HLES diet",NA,"HLES",6,"X71","760_","X14422378"
