Current MS Compounds,ESI Mode,HMDB ID,KEGG ID,Molecular Formula,CAS,Pathways
Trimethylamine (TMA),POS,HMDB00906,C00565,C3H9N,75-50-3,Methane metabolism; Microbial metabolism; Carbon metabolism
Ethanolamine,POS,HMDB00149,C00189,C2H7NO,141-43-5,Glycerophospholipid metabolism; Retrograde endocannabinoid signaling
Aminoacetone,POS,HMDB02134,C01888,C3H7NO,298-08-8,"Glycine, serine, threonine metabolism"
1-Methylguanidine,POS,HMDB01522,C02294,C2H7N3,471-29-4,N/A
Glycine,POS,HMDB00123,C00037,C2H5NO2,56-40-6,"Primary bile acid biosynthesis; Purine metabolism; Glycine, serine, threonine metabolism"
Trimethylamine-N-Oxide (TMAO),POS,HMDB00925,C01104,C3H9NO,1184-78-7,Methane metabolism; Microbial metabolism; Two-component system
Putrescine,POS,HMDB01414,C00134,C4H12N2,110-60-1,"Arginine, proline metabolism; D-Arginine, D-ornithine metabolism; Glutathione metabolism"
betaAlanine,POS,HMDB00056,C00099,C3H7NO2,107-95-9,"Pyrimidine metabolism; beta-Alanine metabolism; Propanoate metabolism; Pantothenate, CoA biosynthesis"
Alanine,POS,HMDB00161,C00041,C3H7NO2,56-41-7,"Alanine, aspartate, glutamate metabolism; Cysteine, methionine metabolism; Taurine, hypotaurine metabolism"
Sarcosine,POS,HMDB00271 ,C00213,C3H7NO2,107-97-1,"Glycine, serine, threonine metabolism; Arginine, proline metabolism "
Betaine Aldehyde,POS,HMDB01252,C00576,C5H12NO,7418-61-3,"Glycine, serine, threonine metabolism"
Cadaverine,POS,HMDB02322,C01672,C5H14N2,462-94-2,"Lysine degradation; Glutathione metabolism; Topane, piperidine, pyridine alkaloid biosynthesis"
3-Aminoisobutyrate,POS,HMDB03911,C03284,C4H9NO2,144-90-1,Branched chain amino acid degradation
Choline,POS,HMDB00097,C00114,C5H14NO,62-49-7,"Glycine, serine, threonine metabolism; Glycerophospholipid metabolism; ABC transporters"
Dimethylglycine,POS,HMDB00092,C01026,C4H9NO2,1118-68-9,"Glycine, serine, threonine metabolism"
L-2-Aminobutyric Acid,POS,HMDB00452,C02356,C4H9NO2,1492-24-6,"Cysteine, methionine metabolism"
2-Aminoisobutyric Acid,POS,HMDB01906,C03665,C4H9NO2,62-57-7,NA
Serine,POS,HMDB00187,C00065,C3H7NO3,56-45-1,"Glycine, serine, threonine metabolism; Monobactam biosynthesis; Cysteine, methionine metabolism"
Hypotaurine,POS,HMDB00965,C00519,C2H7NO2S,300-84-5,"Taurine, hypotaurine metabolism"
Cytosine,POS,HMDB00630,C00380,C4H5N3O,71-30-7,Pyrimidine metabolism
Histamine,POS,HMDB00870,C00388,C5H9N3,51-45-6,"Histidine metabolism; Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of secondary metabolites"
Creatinine,POS,HMDB00562,C00791,C4H7N3O,60-27-5,"Arginine, proline metabolism"
5_6-Dihydrouracil,POS,HMDB00076,C00429,C4H6N2O2,504-07-4,"Pyrimidine metabolism; beta-Alanine metabolism; Pantothenate, CoA biosynthesis"
Proline,POS,HMDB00162,C00148,C5H9NO2,147-85-3,"Arginine, proline metabolism; Carbapenem biosynthesis; Prodigiosin biosynthesis"
5-Aminovaleric Acid,POS,HMDB03355,C00431,C5H11NO2,660-88-8,"Lysine degradation; Arginine, proline metabolism; Microbial metabolism"
Betaine,POS,HMDB00043,C00719,C5H11NO2,107-43-7,"Glycine, serine, threonine metabolism; ABC transporters"
Valine,POS,HMDB00883,C00183,C5H11NO2,72-18-4,"Branched chain amino acid Degradation, Biosynthesis; Penicillin, cephalosporin biosynthesis"
Indole,POS,HMDB00738,C00463,C8H7N,120-72-9,"Tryptophan metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis; Benzoxazinoid biosynthesis"
Threonine,POS,HMDB00167,C00188,C4H9NO3,72-19-5,"Glycine, serine, threonine metabolism; Monobactam biosynthesis; Branched chain amino acid biosynthesis"
Cysteine,POS,HMDB00574,C00097,C3H7NO2S,52-90-4,"Glycine, serine, threonine metabolism; Cysteine, methionine metabolism; Penicillin, cephalosporin biosynthesis"
Niacinamide,POS,HMDB01406,C00153,C6H6N2O,98-92-0,"Nicotinate, nicotinamide metabolism; Longevity regulating pathway - worm; Vitamin digestion, absorption"
Taurine,POS,HMDB00251,C00245,C2H7NO3S,107-35-7,"Primary bile acid biosynthesis; Taurine, hypotaurine metabolism; Sulfur metabolism"
1-Methylhistamine,POS,HMDB00898,C05127,C6H11N3,501-75-7,Histidine metabolism
Imidazoleacetic Acid,POS,HMDB02024,C02835,C5H6N2O2,645-65-8,Histidine metabolism
5_6-Dihydrothymine,POS,HMDB00079,C00906,C5H8N2O2,696-04-8,Mitochondrial neurogastrointestinal encephalopathy; Pyrimidine metabolism
Pyroglutamic Acid,POS,HMDB00267,C01879,C5H7NO3,98-79-3,Glutathione metabolism
Pipecolate,POS,HMDB00070,C00408,C6H11NO2,535-75-1,"Lysine degradation; Topane, piperidine, pyridine alkaloid biosynthesis; Biosynthesis of plant secondary metabolites"
Agmatine,POS,HMDB01432,C00179,C5H14N4,306-60-5,"Arginine, proline metabolism"
N-Acetylputrescine,POS,HMDB02064,C02714,C6H14N2O,18233-70-0,"Arginine, proline metabolism"
Creatine,POS,HMDB00064,C00300,C4H9N3O2,57-00-1,"Glycine, serine, threonine metabolism; Arginine, proline metabolism "
Hydroxyproline,POS,HMDB00725,C01157,C5H9NO3,51-35-4,"Arginine, proline metabolism; ABC transporters"
Aminolevulinate,POS,HMDB01149,C00430,C5H9NO3,106-60-5,"Glycine, serine, threonine metabolism; Porphyrin, Chlorophyll metabolism; Biosynthesis of plant secondary metabolites"
Leucine /D-Norleucine,POS,HMDB00687,C00123,C6H13NO2,61-90-5,Branched chain amino acid degradataion; Branched chain amino acid biosynthesis
iso-Leucine /allo-isoLeucine,POS,HMDB00172/HMDB00557,C00407/C21096,C6H13NO2,73-32-5/1509-34-8,"Branched chain amino acid Degradation, Biosynthesis; Cyanoamino acid metabolism"
Ornithine,POS,HMDB0000214,C01602,C5H12N2O2,348-66-3,"Lysinuric protein intolerance; Arginine, proline metabolism; Glycine, serine metabolism; Spermidine, spermine biosynthesis; Urea cycle; Prolidase Deficiency"
Asparagine,POS,HMDB00168,C00152,C4H8N2O3,70-47-3,"Alanine, aspartate, glutamate metabolism; Cyanamino acid metabolism; Aminoacyl-tRNA biosynthesis"
Aspartic Acid,POS,HMDB00191,C00049,C4H7NO4,56-84-8,"Arginine biosynthesis; Alanine, aspartate, glutamate metabolism; Glycine, serine, threonine metabolism"
Homocysteine,POS,HMDB00742,C00155,C4H9NO2S,70-47-3,"Cysteine, methionine metabolism; Sulfur metabolism; Biosynthesis of secondary metabolites"
S-Methylcysteine,POS,HMDB02108,C22040,C4H9NO2Se,56-84-8,ABC Transporters
1-Methylnicotinamide,POS,HMDB00699,C02918,C7H9N2O,3106-60-3,"Nicotinate, nicotinamide metabolism; Bile secretion"
Tyramine,POS,HMDB00306,C00483,C8H11NO,51-67-2,Tyrosine metabolism; Methane metabolism; Isoquinoline alkaloid biosynthesis
4-Aminobenzoic Acid,POS,HMDB01392,C00568,C7H7NO2,150-13-0,Aminobenzoate degradation; Folate biosynthesis; Biosynthesis of phenylpropanoids; Microbial metabolism
Trigonelline,POS,HMDB00875,C01004,C7H7NO2,535-83-1,"Nicotinate, nicotinamide metabolism"
1-Methylimidazole Acetate,POS,HMDB02820,C05828,C6H8N2O2,2625-49-2,Histidine metabolism
Imidazole Propionate,POS,HMDB02271,C20522,C6H8N2O2,1074-59-5,Histidine metabolism
Spermidine,POS,HMDB01257,C00315,C7H19N3,124-20-9,"Arginine, proline metabolism; beta-Alanine metabolism; Glutathione metabolism"
4-Guanidinobutanoate,POS,HMDB03464,C01035,C5H11N3O2,463-00-3,"Arginine, proline metabolism"
Acetylcholine,POS,HMDB00895,C01996,C7H16NO2,51-84-3,Glycerophospholipid metabolism; cAMP signaling pathway; Neuroactive ligand-receptor interaction
Glutamine,POS,HMDB00641,C00064,C5H10N2O3,56-85-9,Arginine biosynthesis; Purine metabolism; Pyrimidine metabolism
Lysine,POS,HMDB00182,C00047,C6H14N2O2,56-87-1,Lysine biosynthesis; Lysine degradation; Biotin metabolism
Deoxycarnitine,POS,HMDB01161,C01181,C7H16NO2,407-64-7,Lysine degradation; ABC Transporters
Glutamic acid,POS,HMDB0000148,C00025,C7H16NO2,6893-26-1,"Arginine biosynthesis; Alanine, aspartate, glutamate metabolism; Arginine, proline metabolism"
Methionine,POS,HMDB00696,C00073,C5H11NO2S,63-68-3,"Cysteine, methionine metabolism; Glucosinolate biosynthesis; Aminoacyl-tRNA biosynthesis"
Guanine,POS,HMDB00132,C00242,C5H5N5O,73-40-5,Purine metabolism
Cystamine,POS,N/A,N/A,C4H12N2S2,51-85-4,N/A
Histidine,POS,HMDB00177,C00135,C6H9N3O2,71-00-1,Histidine metabolism; Staurosporine biosynthesis; beta-Alanine metabolism
Serotonin,POS,HMDB00259,C00780,C10H12N2O,50-67-9,Tryptophan metabolism; Biosynthesis of alkaloids derived from shikimate pathway; cAMP signaling pathway
Tryptamine,POS,HMDB00303,C00398,C10H12N2,61-54-1,Tryptophan metabolism; Indole alkaloid biosynthesis; Biosynthesis of plant secondary metabolites
Carnitine,POS,HMDB00062,C00487,C7H16NO3,541-15-1,Lysine degradation; ABC Transporters
Phenylalanine,POS,HMDB00159,C00079,C9H11NO2,63-91-2,"Phenylalanine metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis; Cyanoamino acid metabolism"
Methionine Sulfoxide,POS,HMDB02005,C02989,C5H11NO3S,3226-65-1,"Cysteine, methionine metabolism"
7-Methylguanine,POS,HMDB00897,C02242,C6H7N5O,578-76-7,N/A
Normetanephrine,POS,HMDB00819,C05589,C9H13NO3,97-31-4,Tyrosine metabolism
Taurocyamine,POS,HMDB03584,C01959,C3H9N3O3S,543-18-0,"Taurine, hypotaurine metabolism"
Pyridoxamine,POS,HMDB01431,C00534,C3H9N3O3S,85-87-0,"Vitamin B6 metabolism; Microbial metabolism; Vitamin digestion, absorption"
1/3-Methylhistidine,POS,HMDB00001,C01152,C7H11N3O2,332-80-9,Histidine metabolism
Norepinephrine,POS,HMDB00216,C00547,C8H11NO3,51-41-2,Tyrosine metabolism; Two-component system; Quorum sensing
n-Glycylproline,POS,HMDB00721,N/A,C7H12N2O3,704-15-4,N/A
Arginine,POS,HMDB00517,C00062,C6H14N4O2,74-79-3,"Arginine biosynthesis; Monobactam biosynthesis; Arginine, proline metabolism"
N-Acetylornithine,POS,HMDB03357,C00437,C7H14N2O3,6205-08-9,Arginine biosynthesis; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
Cotinine,POS,HMDB01046,N/A,C10H12N2O,486-56-6,Nicotine action pathway; Nicotine metabolism pathway
Cysteinyl-Glycine (Cys-Gly),POS,HMDB0000078,C01419,C5H10N2O3S,19246-18-5,Glutathione metabolism
Gluconolactone,POS,HMDB00150,C00198,C6H10O6,90-80-2,Pentose phosphate pathway; Biosynthesis of secondary metabolites; Microbial metabolism; Carbon metabolism
Glucosamine,POS,HMDB0001514,C00329,C6H13NO5,3416-24-8,"Amino sugar, nucleotide sugar metabolism; Phosphotransferase system"
Theobromine,POS,HMDB02825,C07480,C7H8N4O2,83-67-0,"Caffeine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine"
